id,client_id,product_category,product_company,subtype,amount,date,transaction_type
747215,805,6,Moscow subway,Purchase,53,2020-12-20 13:16:00,Negative
762221,821,6,Arrow,Purchase,85,2020-12-20 13:16:02,Negative
286698,310,6,Arrow,Purchase,82,2020-12-20 13:16:18,Negative
672280,724,5,Dodo Pizza,Purchase,313,2020-12-20 13:16:24,Negative
555428,598,6,Moscow subway,Purchase,67,2020-12-20 13:16:29,Negative
513194,553,5,Burger King,Purchase,314,2020-12-20 13:17:19,Negative
658419,709,5,Yakitoria,Purchase,596,2020-12-20 13:17:55,Negative
295035,319,5,Burger King,Purchase,212,2020-12-20 13:18:04,Negative
84540,91,6,Moscow subway,Purchase,52,2020-12-20 13:18:44,Negative
433706,467,28,Bowling Club Scooter,transfer,1106,2020-12-20 13:18:59,Negative
703595,758,5,Tanuki,Purchase,193,2020-12-20 13:19:41,Negative
466976,504,3,YandexGO,Purchase,524,2020-12-20 13:19:42,Negative
137724,148,28,Bowling Club Scooter,Replenishment,1765,2020-12-20 13:19:51,Positive
83406,90,6,Arrow,Purchase,54,2020-12-20 13:20:27,Negative
46718,50,28,Bowling Club Scooter,transfer,454,2020-12-20 13:21:37,Negative
888395,957,6,Moscow subway,Purchase,76,2020-12-20 13:22:05,Negative
371449,401,5,Yakitoria,Purchase,450,2020-12-20 13:22:10,Negative
603826,650,2,SberMarket,Purchase,1029,2020-12-20 13:24:58,Negative
715853,770,28,Bowling Club Scooter,Replenishment,2375,2020-12-20 13:25:05,Positive
878035,946,6,Moscow subway,Purchase,83,2020-12-20 13:25:10,Negative
348833,377,3,GETT,Purchase,697,2020-12-20 13:26:20,Negative
915577,986,20,Bowling Club Scooter,Purchase,2268,2020-12-20 13:26:25,Negative
773011,833,5,McDonald's,Purchase,523,2020-12-20 13:26:57,Negative
122545,132,6,Arrow,Purchase,90,2020-12-20 13:27:00,Negative
445515,480,6,Moscow subway,Purchase,66,2020-12-20 13:27:08,Negative
607228,653,6,Moscow subway,Purchase,96,2020-12-20 13:27:15,Negative
61314,66,28,Bowling Club Scooter,transfer,1453,2020-12-20 13:28:41,Negative
528026,569,6,Arrow,Purchase,77,2020-12-20 13:29:19,Negative
703031,757,6,Moscow subway,Purchase,73,2020-12-20 13:30:21,Negative
360942,389,10,Bowling Club Scooter,Purchase,373,2020-12-20 13:31:16,Negative
564733,608,6,Moscow subway,Purchase,83,2020-12-20 13:31:33,Negative
498793,537,9,Rospechat,Purchase,251,2020-12-20 13:34:09,Negative
211347,228,11,Cosmetic center,Purchase,1734,2020-12-20 13:34:10,Negative
128919,139,5,Burger King,Purchase,419,2020-12-20 13:34:46,Negative
213789,231,6,Moscow subway,Purchase,63,2020-12-20 13:34:57,Negative
374379,404,6,Arrow,Purchase,54,2020-12-20 13:35:39,Negative
155540,168,6,Arrow,Purchase,80,2020-12-20 13:35:48,Negative
746599,804,6,Moscow subway,Purchase,71,2020-12-20 13:35:54,Negative
706889,761,6,Arrow,Purchase,86,2020-12-20 13:36:08,Negative
223410,241,9,White Rabbit,Purchase,599,2020-12-20 13:36:43,Negative
578736,623,6,Arrow,Purchase,56,2020-12-20 13:37:16,Negative
29891,33,5,McDonald's,Purchase,233,2020-12-20 13:38:12,Negative
891928,961,9,CENTURY OF DEVELOPMENT,Purchase,581,2020-12-20 13:38:28,Negative
809642,872,6,Arrow,Purchase,79,2020-12-20 13:39:00,Negative
229889,248,9,Rospechat,Purchase,288,2020-12-20 13:39:05,Negative
389854,420,6,Arrow,Purchase,65,2020-12-20 13:39:36,Negative
25303,28,6,Moscow subway,Purchase,99,2020-12-20 13:39:47,Negative
81234,87,28,Bowling Club Scooter,Replenishment,153,2020-12-20 13:40:54,Positive
738766,795,28,Bowling Club Scooter,Replenishment,498,2020-12-20 13:40:54,Positive
589790,634,16,Bowling Club Scooter,Purchase,1358,2020-12-20 13:41:12,Negative
836086,900,7,Planet Health,Purchase,438,2020-12-20 13:41:20,Negative
611314,657,17,Bowling Club Scooter,Purchase,40225,2020-12-20 13:41:44,Negative
599837,645,6,Arrow,Purchase,52,2020-12-20 13:42:24,Negative
374161,404,1,YouDrive,Purchase,1071,2020-12-20 13:42:51,Negative
460631,497,2,SberMarket,Purchase,2570,2020-12-20 13:43:02,Negative
900655,971,5,PizzaHut,Purchase,203,2020-12-20 13:43:21,Negative
240809,260,7,Pharmacy 23+,Purchase,221,2020-12-20 13:43:38,Negative
763229,822,6,Moscow subway,Purchase,59,2020-12-20 13:43:56,Negative
289321,313,6,Arrow,Purchase,64,2020-12-20 13:44:07,Negative
200656,217,6,Arrow,Purchase,70,2020-12-20 13:44:52,Negative
904794,975,6,Arrow,Purchase,68,2020-12-20 13:44:53,Negative
326915,354,1,Yandex.Drive,Purchase,1363,2020-12-20 13:46:24,Negative
498988,537,28,Bowling Club Scooter,Replenishment,353,2020-12-20 13:46:47,Positive
733366,790,3,GETT,Purchase,990,2020-12-20 13:46:50,Negative
